software_category,software_down,software_name
multimedia,5.6,Canvas 
multimedia,70.6,SWF Player 
multimedia,18.1,Free DRM Removal 
multimedia,400,CorelDRAW Graphics Suite 
multimedia,100,Adobe InDesign CC 
multimedia,69.7,MorphVOX Pro 
multimedia,30.5,Microsoft Visio 2013 
multimedia,300,JetAudio 
multimedia,73.2,MKV to MP4 Converter 
multimedia,33.1,Free Video To Audio Converter 
multimedia,100,Adobe Animate CC (Adobe Flash Professional) 
multimedia,10.1,HP Photo Creations 
multimedia,200,Free Video Cutter 
multimedia,1000,Photo! Editor 
multimedia,24.4,Lightworks 
multimedia,14.1,PSD Viewer 
multimedia,9.3,Pixie 
multimedia,87.1,FXSound 
multimedia,6.2,Sound Lock 
multimedia,50.5,JPEG to PDF 
multimedia,68.0,Kodi 
multimedia,83.3,Adobe Photoshop CS4 update 
multimedia,22.4,Balabolka 
multimedia,74.2,Freemake Video Downloader 
multimedia,30.7,Pixlr 
multimedia,66.7,ACDSee Free 
multimedia,5.0,Krita Desktop 
multimedia,18.6,Music Manager 
multimedia,8.0,Movies & TV 
multimedia,30.9,YTD Downloader 
multimedia,200,Free Video to Mp3 Converter 
multimedia,21.0,MixPad Multitrack Recording Software 
multimedia,8.2,Live TV for Windows 10 
multimedia,7.0,YouTube VR 
multimedia,69.6,SketchUp Pro 
multimedia,21.6,AutoTune 
multimedia,5.8,TVexe TV 5.0 
multimedia,24.6,Movavi Video Editor 
multimedia,34.7,DraftSight 
multimedia,200,AIMP 
multimedia,100,ImgBurn 
multimedia,51.6,Mp3tag 
multimedia,17.2,Muvizu 
multimedia,5.2,Video Watermark Remove 
multimedia,44.9,Adobe Camera Raw 
multimedia,100,Autodesk 3DS Max 
multimedia,100,ALLPlayer 
multimedia,13.1,Free MP3 CD Burner 
multimedia,100,WinX DVD Player 
multimedia,100,CyberLink PowerDirector 
multimedia,11.3,TubeMate Video Music Downloader 
multimedia,47.2,Bass Treble Booster 
multimedia,400,SketchUp Make 
multimedia,14.8,Easy Video Cutter 
multimedia,44.7,MAGIX Music Maker 
multimedia,13.9,Photo Background Remover 
multimedia,46.7,Aurora 3D Animation Maker 
multimedia,27.0,IrfanView 
multimedia,22.2,EZ Paint 
multimedia,22.6,Winamp Classic 
multimedia,200,Total Video Player 
multimedia,12.0,Photo Lab 
multimedia,24.8,Aurora 3D Text & Logo Maker 
development,300,AnyDesk 
development,300,Notepad++ 
development,200,Dev-C++ 
development,26.9,ARC Welder for Chrome 
development,2500,Hamachi 
development,800,TeamViewer 
development,100,XShell 
development,200,SPSS 
development,200,MSWLogo 
development,400,Java Runtime Environment 
development,81.5,MySQL 
development,600,SPSS 
development,7.0,Vscode 
development,100,Java Development Kit 
development,12.8,Cisco Packet Tracer 
development,84.6,Google Drive - Backup and Sync 
development,200,Android SDK 
development,200,Microsoft Visual Basic 
development,47.7,MATLAB 
development,42.4,BlueJ 
development,60.7,SQLyog 
development,42.4,BlueJ 
development,12.5,Brackets 
development,69.7,Free WiFi Hotspot 
development,14.5,Jarfix 
development,21.9,EMU8086 - MICROPROCESSOR EMULATOR 
development,200,Ammyy Admin 
development,8.6,Anaconda 
development,7.8,Visual Studio Code 
development,200,XAMPP Windows 
development,16.2,Arduino IDE 
development,20.1,Sublime Text 
development,200,Visual Studio 2013 
development,9.2,Ultraviewer 
development,300,Connectify Hotspot 
development,56.9,Code::Blocks 
development,8.6,PyCharm Community Edition 
development,13.3,Python 
development,71.2,MEGASync 
development,32.1,Mars WiFi - Free WiFi HotSpot 
development,200,M.U.G.E.N 
development,57.2,WAMPServer 
development,15.8,TeamViewer Touch for Windows 10 
development,13.6,WO Mic 
development,100,My WIFI Router 
development,44.2,Eclipse 
development,11.8,Free NIV Bible 
development,9.1,ArgoUML 
development,19.5,JCreator 
development,28.2,Chrome Remote Desktop 
development,70.8,Java Runtime Environment 
development,10.1,Vysor Android Control on PC 
development,37.4,TeamViewer Portable 
development,100,BluetoothView 
development,14.7,Fresh HTML 
development,46.8,StarUML 
development,34.5,Virtual Router Manager 
development,27.5,OpenSSH 
development,9.0,MySQL-Front 
development,34.8,Adobe Air 
development,10.3,Xming 
development,44.6,Wireless Network Watcher 
development,5.8,Vim 
development,49.0,FileZilla 
development,7.1,PyCharm 
development,14.2,Tuxler 
development,12.7,Who Is On My Wifi 
development,13.6,Notepad++ Portable 
development,82.5,Norton Ghost 
development,14.8,Bonjour 
development,88.8,JavaExe 
development,10.7,DNS Benchmark 
development,100,ShowMyPC 
development,5.3,Memz Trojan 
development,25.8,OSToto Hotspot 
development,9.3,Construct 2 
development,35.1,Microsoft Visual Studio 
development,6.5,Geany 
development,9.7,MySQL Workbench 
development,5.2,Network Speed Test 
development,5.6,Remote Desktop for Windows 10 
development,100,Game Maker 
development,19.2,gVim 
development,25.4,InSSIDer 
development,91.1,Microsoft Silverlight 
development,19.3,Advanced IP Scanner 
development,10.1,HexEditor 
development,6.6,Arduino IDE 
development,13.2,SQL Server 
development,12.3,Digital TV 2050 
development,200,Visual C++ 2010 Express 
development,14.5,Navicat for MySQL 
development,17.3,LogMeIn 
development,62.1,Java Development Kit 
development,16.8,Wireshark 
development,14.3,NetBeans IDE 
development,57.1,DNS Jumper 
development,21.0,EditPlus 
development,26.2,namebench 
development,19.8,GitHub for Windows 
development,8.3,Universal Termsrv.dll Patch 
development,33.0,Microsoft SQL Server 2005 Express Edition 
development,22.8,TeamViewer 
development,100,Easy WiFi 
development,5.9,XML Notepad 
development,6.1,TCPView 
development,35.4,InstallShield Professional 
development,14.9,Apache HTTP Server 
development,7.3,wxDev-C++ 
development,24.5,Xenu's Link Sleuth 
development,43.5,DirectX SDK 
development,8.0,SciTE 
development,32.3,Google Chrome Canary 
development,16.8,PHP 
development,8.5,phpMyAdmin 
development,27.4,Microsoft Visual C# 2008 
development,5.1,Toad for MySQL 
development,66.4,Genymotion 
development,87.0,VirtualRouter Plus 
development,12.3,Xirrus Wi-Fi Inspector 
development,22.3,WinHex 
development,12.7,Resource Hacker 
development,5.2,RdClient 
development,35.1,Microsoft Visual C++ 2008 
development,9.4,Delphi 
development,13.0,Unity 
development,9.4,HxD Hex Editor 
development,32.1,Internet Speed Up 
development,7.3,IP Sniffer 
development,80.1,Virtual WiFi Router 
development,5.5,Fing 
development,6.4,FlashFXP 
development,6.5,Nmap 
development,200,WiFi Protector 
development,20.5,Aircrack-ng 
development,14.9,MySQL Administrator 
development,35.5,Cavaj Java Decompiler 
development,9.3,MinGW 
development,7.0,Tenorshare ReiBoot 
development,25.7,FreeProxy 
development,45.6,WampServer 
development,13.5,SQLiteManager 
development,47.8,ZPN Connect 
development,14.6,Borland DataBase Engine (BDE) 
development,62.8,Freegate 
development,47.6,ODIN 
development,15.7,Free IP Switcher 
development,7.7,Angry IP Scanner 
development,29.7,Beini 
development,5.0,WS_FTP 
development,21.2,Cygwin 
development,24.9,Modem Booster 
education-reference,94.3,Google Classroom 
education-reference,500,TypingMaster 
education-reference,1200,Google Earth 
education-reference,200,Google Earth Pro 
education-reference,81.6,Sonma Typing-Expert 
education-reference,200,TypingMaster Typing Test 
education-reference,100,ePUB Reader for Windows 
education-reference,100,Scratch 
education-reference,62.9,RapidTyping 
education-reference,93.4,MathType 
education-reference,45.9,Rapid Typing Tutor 
education-reference,37.2,Oxford Dictionary of English 
education-reference,11.5,English to Hindi Character Converter 
education-reference,23.2,CmapTools 
education-reference,100,Advanced English Dictionary 
education-reference,29.6,Kindle 
education-reference,42.4,Plagiarism Checker X 
education-reference,15.6,KeyBlaze Free Typing Tutor 
education-reference,5.8,Draw.io 
education-reference,33.2,TypeFaster 
education-reference,16.4,Free Kings James Bible 
education-reference,67.0,GeoGebra 
education-reference,24.2,Al Quran for Windows 10 
education-reference,46.6,NI Multisim 
education-reference,15.5,Kindle for Windows 10 
education-reference,32.6,ChemSketch 
education-reference,40.6,EasyWorship 
education-reference,6.7,Typing Trainer 
education-reference,10.8,Holy Quran Book for Windows 
education-reference,30.6,Virtual Piano 
education-reference,200,Free Language Translator 
education-reference,40.9,ComicRack 
education-reference,17.7,Adobe Acrobat eBook Reader 
education-reference,8.4,"Oxford Advanced Learner's Dictionary, 8th edition "
education-reference,46.4,Adobe Digital Editions 
education-reference,7.9,Hinkhoj Hindi English Dictionary 
education-reference,34.2,Calibre 
education-reference,13.9,Desktop Plagiarism Checker 
education-reference,6.8,Anki 
education-reference,38.5,Mobipocket Reader Desktop 
education-reference,24.9,Stellarium 
education-reference,24.8,WebEx Player 
education-reference,30.2,Minitab 
education-reference,8.9,Resume Builder 
education-reference,44.6,DJ Music Mixer 
education-reference,100,Earth3D 
education-reference,7.8,Quantum GIS 
education-reference,18.4,Typing Test TQ 
education-reference,9.5,GS Typing Tutor 
education-reference,36.2,Dictionary 
education-reference,16.4,Origin 
education-reference,100,Electronic Piano 
education-reference,5.1,RapidTyping Portable 
education-reference,200,Ultimate Dictionary 
education-reference,5.9,QuikGrid 
education-reference,24.5,Convert EPUB to PDF 
education-reference,18.1,MangaMeeya 
education-reference,5.6,Active Typing Tutor 
education-reference,50.5,Babylon 
education-reference,45.3,MidiPiano 
education-reference,45.1,Free Guitar Tuner 
education-reference,100,WordWeb 
education-reference,13.0,Sigil 
education-reference,26.4,Athan (Azan) Basic 
education-reference,5.3,FreeWorship 
education-reference,13.1,OrCAD PSpice Designer 
education-reference,21.6,Octave 
education-reference,5.6,Letter Chase Typing Tutor 
education-reference,13.0,Dictionary.com 
education-reference,26.0,Virtual Midi Piano Keyboard 
education-reference,7.1,WinFlash 
education-reference,7.2,Origin 
education-reference,5.1,Phet 
education-reference,5.5,Icecream Ebook Reader 
education-reference,14.5,Maple 
education-reference,15.8,TuneIn Radio 
education-reference,40.7,Viper 
education-reference,7.5,1Checker 
education-reference,5.7,Listen N Write Free 
education-reference,32.3,3D Driving-School 
education-reference,20.2,Guitar Rig 
education-reference,29.5,TuxGuitar 
education-reference,13.7,NASA World Wind 
education-reference,10.3,SigmaPlot 
education-reference,5.1,Uber 
education-reference,23.4,Al-Quran Explorer 
education-reference,6.6,Free metronome 
education-reference,5.5,Virtual Lab 
education-reference,8.3,Symyx Draw 
education-reference,9.0,Finale Notepad 
education-reference,26.5,Finale 
education-reference,20.9,AccuWeather.com Stratus 
education-reference,14.1,Sibelius 
education-reference,10.2,Convert PDF to EPUB 
education-reference,5.5,KeyBlaze Typing Tutor 
education-reference,6.4,MuseScore 
education-reference,5.8,Bing! Maps 3D 
education-reference,27.5,Periodic Table 
education-reference,54.0,MecaNet 
education-reference,18.4,Encore 
education-reference,11.6,FBReader 
education-reference,6.2,EPUB Converter 
education-reference,18.4,Easy Translator 
lifestyle,13.2,Flipkart 
lifestyle,51.2,World Cricket Championship 2 
lifestyle,17.8,e-sword 
lifestyle,31.6,OLX for Windows 10 
lifestyle,9.4,eBay Desktop 
lifestyle,15.4,Wilcom Truesizer 
lifestyle,38.4,Kundli Chakra Professional 
lifestyle,14.1,Cooking Academy 2 
lifestyle,14.9,Guitar and Bass 
lifestyle,18.4,Desktop Games 
lifestyle,6.4,Windows Hotfix Downloader 
lifestyle,51.4,The Holy Bible 3D 
lifestyle,5.1,Fly on Desktop 
lifestyle,35.8,Kamus 
lifestyle,44.3,My Free Weather 
lifestyle,7.4,MyBible 
lifestyle,5.9,Pokedex 
lifestyle,7.5,Virtual Hairstudio 
lifestyle,6.9,iMeme 
lifestyle,88.1,Free Medical Dictionary 
lifestyle,5.1,BMI Calculator 
lifestyle,6.4,Pepakura Designer 
lifestyle,8.5,Horoscope 
lifestyle,10.6,Hair Pro 
lifestyle,6.4,Cracked.com for Windows 10 
lifestyle,7.6,Meteo Fusion 
lifestyle,11.8,FIFA World Cup 2006 Manager 
lifestyle,12.1,Recipe Cookbook 
personalization,100,iPadian 
personalization,12.4,Samsung Smart Switch 
personalization,13.1,Fliqlo 
personalization,6.3,TranslucentTB 
personalization,77.6,God Of War 3 
personalization,27.0,ObjectDock 
personalization,76.7,Chrome XP 
personalization,31.1,Nexus 
personalization,25.1,Rainmeter 
personalization,100,Mac OS X Theme 
personalization,12.0,Folder Colorizer 
personalization,11.8,Windows 7 Logon Background Changer 
personalization,17.8,Desktop Weather 
personalization,5.4,Dolphins Aquarium 
personalization,16.3,The Avengers Windows 7 Theme 
personalization,7.5,Rainbow Folders 
personalization,25.4,Grand Theft Auto (GTA) IV Screensaver 
personalization,10.1,Windows 7 Theme 
personalization,14.0,Amazing 3D Aquarium 
personalization,100,GTA: San Andreas Homeboys 
personalization,100,MiniLyrics 
personalization,6.0,CDR Software 
personalization,8.0,RealWorld Cursor Editor 
personalization,44.1,Universal Theme Patcher 
personalization,35.9,EA Sports World Cup 
personalization,15.5,Windows 7 Dreamscene Installer 
personalization,41.1,8 Skin Pack 
personalization,22.0,Auto-Clicker 
personalization,18.3,Winamp Media Player 11 Skin 
personalization,8.4,NexusFont 
personalization,16.9,Volume Control 
personalization,58.8,Free Photo Frame 
personalization,8.2,Alienware Skin Pack 
personalization,27.4,Lipikar 
personalization,7.1,Tema de God of War III 
personalization,76.3,Starter Background Changer 
personalization,52.8,Vocal Remover 
personalization,56.1,Call of Duty: Modern Warfare 3 
personalization,54.9,Clownfish Aquarium Live Wallpaper 
personalization,45.9,Ringtone Maker 
personalization,11.8,Tapety Need for Speed The Run 
personalization,49.4,Grand Theft Auto 
personalization,66.0,Counter-Strike 
personalization,8.2,Call of Duty: Modern Warfare 3 Wallpaper 
personalization,57.7,Facebook Video Call Plug-in Installer 
personalization,23.6,Windows 7 DreamScene Activator 
personalization,15.5,Clock Savers 
personalization,100,Windows 8 Transformation Pack 
personalization,7.2,Alien Theme for 7 
personalization,6.3,SereneScreen Marine Aquarium 
personalization,5.3,XLaunchpad 
personalization,12.8,TrueTransparency 
personalization,33.6,AIMP 2 Skins Pack 
personalization,59.3,The Amazing Spiderman Windows 7 Theme 
personalization,5.1,Windows 7 Wallpapers Theme Pack 
personalization,5.1,PaceMaker plug-in 
personalization,5.5,Aero Enabler 
personalization,7.3,Musicstudio Professional (JetAudio Skin) 
personalization,7.5,Windows 7 Theme Manager 
personalization,6.7,WhiteCap 
personalization,14.1,Lyrics Plugin for Winamp 
personalization,20.8,Windows 7 Start Orb Changer 
personalization,31.9,Lamborghini Theme 
personalization,18.5,GTA Liberty City Stories Wallpaper 
personalization,6.4,VLC media player Skins Pack 
personalization,60.0,Lyrics Plugin for Windows Media Player 
personalization,5.2,In Vitro 
personalization,27.1,New Super Mario Bros. Wii Wallpaper 
personalization,41.1,GTA: San Andreas Homegirls 
personalization,10.9,Plants vs. Zombies Wallpaper Pack 
personalization,9.4,Winamp TV 
personalization,26.8,Windows 8 Start Panel 
personalization,11.9,Scooby-Doo Dancer 
personalization,9.5,MMD3 
personalization,8.3,Uxstyle Core 
personalization,8.3,Desktop Earth 
personalization,32.8,Dream Aquarium Screensaver 
personalization,14.1,Yahoo! Widgets 
personalization,10.4,Super Mario Galaxy 2 
personalization,24.5,Max Payne 3 
personalization,200,Vista Transformation Pack 
personalization,29.3,Fast Five (Fast & Furious 5) 
personalization,5.4,Custopack Tools 
personalization,10.2,3D Earth Screensaver 
personalization,19.9,Sex and the City 
personalization,15.7,iColorFolder 
personalization,8.1,AIMP WMP 12 Windows 7 
personalization,12.0,ViStart 
personalization,10.2,Deskspace 
personalization,11.3,Hello Kitty Icons 
personalization,5.8,Image 2 Icon Converter 
personalization,87.4,Seven Remix XP 
personalization,95.4,SevenVG RC (Windows 7 Theme) 
personalization,12.3,Mac OS X Snow Leopard Theme  
personalization,33.7,FlyakiteOSX 
personalization,5.9,Mosaic 
personalization,5.5,Classic Shell 
personalization,5.6,CursorXP 
personalization,5.7,IconChanger 
personalization,22.2,Windows 7 Wallpaper Pack 
personalization,6.2,BioniX Desktop Wallpaper Changer 
personalization,10.9,Call of Duty Theme 
personalization,35.3,Windows Theme Installer 
personalization,11.8,LyricsFetcher 
personalization,6.0,IconPackager 
personalization,8.9,EvilLyrics 
social-communication,55.7,Microsoft Teams 
social-communication,300,Facebook 
social-communication,23.5,Zoom Meetings 
social-communication,1300,WhatsApp 
social-communication,400,Instagram 
social-communication,100,Telegram 
social-communication,100,Tik Tok 
social-communication,900,Imo 
social-communication,4900,Skype 
social-communication,100,WeChat 
social-communication,28.1,Discord 
social-communication,500,Messenger for Desktop 
social-communication,63.1,Pinterest 
social-communication,200,Hangouts 
social-communication,300,Messenger 
social-communication,39.4,bcWebCam 
social-communication,52.3,imo for Windows 10 
social-communication,500,Viber 
social-communication,500,CyberLink YouCam 
social-communication,1400,LINE 
social-communication,53.9,Twitter for Windows 10 
social-communication,300,Skype for Windows 10 
social-communication,11.9,Facebook Messenger for Windows 7 
social-communication,24.0,WordPress 
social-communication,200,Skype for Business 
social-communication,17.4,WeChat for Windows 10 
social-communication,9.1,Google Hangouts 
social-communication,37.4,ICQ 
social-communication,73.2,CamUniversal 
social-communication,32.3,X-Lite 
social-communication,65.3,PdaNet 
social-communication,200,QQ Messenger 
social-communication,33.4,IP Camera Viewer 
social-communication,7.6,TextNow 
social-communication,9.3,All-in-One Voice Changer 
social-communication,45.8,ArcSoft WebCam Companion 
social-communication,38.4,LINE for Windows 10 
social-communication,90.7,Viber 
social-communication,8.3,Baidu App Store 
social-communication,11.1,QQ 
social-communication,8.3,AlterCam 
social-communication,100,Photo Booth for Windows 7 
social-communication,67.6,FreeCall 
social-communication,21.3,MyPhoneExplorer 
social-communication,20.3,PC-Telephone 
social-communication,57.1,WebcamMax 
social-communication,27.5,FaceRig 
social-communication,5.5,Slack 
social-communication,7.7,LiveStream Broadcaster 
social-communication,200,IMVU 
social-communication,7.2,Logitech Vid HD 
social-communication,7.4,WebCam Viewer 
social-communication,44.6,Multi Skype Launcher 
social-communication,82.4,Paltalk 
social-communication,600,Tango 
social-communication,83.9,Badoo 
social-communication,17.2,ArcSoft Magic-i Visual Effects 
social-communication,95.3,WhatsappTime 
social-communication,46.0,BlueSoleil 
social-communication,42.2,WhatsApp Extractor 
social-communication,9.1,Lync for Windows 10 
social-communication,12.4,Multi Yahoo Messenger 
social-communication,6.9,MobileVOIP for Windows 10 
social-communication,300,ooVoo 
social-communication,100,Skype Portable 
social-communication,100,Camfrog Video Chat 
social-communication,12.2,Sony Ericsson PC Suite 
social-communication,46.3,TeamSpeak 
social-communication,100,Easy WIFI Radar 
social-communication,24.6,Spark 
social-communication,11.6,AIM 
social-communication,6.8,Yawcam 
social-communication,19.7,YouCam Mobile 
social-communication,29.9,Microsoft Lync 2013 
social-communication,62.7,MessengerTime 
social-communication,23.0,WirelessMon 
social-communication,9.9,Fake Webcam 
social-communication,5.1,AV Webcam Morpher 
social-communication,10.0,Connectivity Fixer 
social-communication,21.5,Skype Voice Changer 
social-communication,13.5,Webcam Monitor 
social-communication,7.6,Send Bulk SMS 
social-communication,400,Nimbuzz 
social-communication,9.7,SpeedConnect Connection Tester 
social-communication,88.3,Google Voice and Video Chat 
social-communication,10.7,Cam Wizard 
social-communication,67.4,SkypeLauncher 
social-communication,7.9,mysms 
social-communication,17.7,Backuptrans Android WhatsApp Transfer 
social-communication,6.2,Join.me 
social-communication,10.0,Skype Translator 
social-communication,22.9,MagicCamera 
social-communication,6.3,Digsby 
social-communication,15.0,Skype WiFi for Windows 10 
social-communication,5.3,EyeBall Chat 
social-communication,13.3,VoipBuster 
social-communication,7.9,WiFi SiStr 
social-communication,8.1,Trillian 
social-communication,10.5,Xeoma Video Surveillance Software 
utilities-tools,700,Driver Booster Free 
utilities-tools,200,IObit Software Updater 
utilities-tools,3300,SHAREit 
utilities-tools,45.2,Smart Game Booster 
utilities-tools,2700,WinRAR 
utilities-tools,400,WinRAR 
utilities-tools,700,Bluetooth Driver Installer 
utilities-tools,200,GS Auto Clicker 
utilities-tools,700,Windows 10 
utilities-tools,100,3uTools 
utilities-tools,200,Free Screen Recorder 
utilities-tools,40.9,DroidCam 
utilities-tools,100,Outlook on Desktop 
utilities-tools,700,BlueStacks App Player 
utilities-tools,300,Realtek HD Audio Drivers 
utilities-tools,100,Windows 7 Service Pack 1 
utilities-tools,300,DriverPack Solution Online 
utilities-tools,31.7,TinyTask 
utilities-tools,65.3,Avro Keyboard 
utilities-tools,1500,DAEMON Tools Lite 
utilities-tools,100,Windows 7 
utilities-tools,200,Realtek HD Audio Drivers x64 
utilities-tools,200,Bluetooth Driver Installer 
utilities-tools,100,Logitech Webcam Software 
utilities-tools,300,Google Input Tools for PC 
utilities-tools,36.3,KeyTweak 
utilities-tools,100,Teracopy 
utilities-tools,200,7-Zip 
utilities-tools,42.5,HP LaserJet M1005 Multifunction Printer drivers 
utilities-tools,17.7,Google Docs 
utilities-tools,63.5,iCloud 
utilities-tools,18.0,Epson Print and Scan 
utilities-tools,200,Recuva 
utilities-tools,14.4,Intel Wireless Bluetooth for Windows 7 
utilities-tools,500,WinZip 
utilities-tools,45.7,LightShot 
utilities-tools,200,AMCap 
utilities-tools,37.2,NetSpeedMonitor 
utilities-tools,15.0,ADB Driver Installer 
utilities-tools,500,Windows 8 
utilities-tools,25.3,HP LaserJet P1007 Printer drivers 
utilities-tools,800,CCleaner 
utilities-tools,100,Snagit 
utilities-tools,29.2,HP LaserJet Pro P1102 Printer drivers 
utilities-tools,91.8,On-Screen Keyboard Portable 
utilities-tools,14.0,HP DeskJet 2130 All-in-One Printer drivers 
utilities-tools,18.8,Free Scanner Software 
utilities-tools,600,Samsung Kies 
utilities-tools,22.5,NVIDIA Control Panel 
utilities-tools,100,Free Live TV 
utilities-tools,37.4,Wondershare Dr Fone 
utilities-tools,100,SlimDrivers 
utilities-tools,17.7,HP LaserJet 1018 Printer drivers 
utilities-tools,100,Snipping Tool++ 
utilities-tools,300,Nox APP Player 
utilities-tools,93.2,FAT32 Format 
utilities-tools,93.8,SpeedFan 
utilities-tools,66.6,AS SSD Benchmark 
utilities-tools,200,Clean Master for PC 
utilities-tools,74.4,ISO to USB 
utilities-tools,76.8,PrimoPDF 
utilities-tools,200,OpenGL 
utilities-tools,18.8,HP DeskJet Ink Advantage 2135 All-in-One Printer drivers 
utilities-tools,23.3,Intel USB 2.0 Driver for Windows 7 
utilities-tools,10.5,HP LaserJet P1005 Printer drivers 
utilities-tools,10.5,Xodo PDF Reader & Editor 
utilities-tools,60.9,Zapya - File transfer tool 
utilities-tools,100,Samsung USB Driver for Mobile Phones 
utilities-tools,26.4,PC Screen Capture 
utilities-tools,300,Realtek HD Audio Drivers 
utilities-tools,27.7,HP Scan and Capture for Windows 10 
utilities-tools,400,Nokia PC Suite 
utilities-tools,700,iTools For Windows 
utilities-tools,52.3,DU Meter 
utilities-tools,42.1,DimScreen 
utilities-tools,52.1,Windows 7 Service Pack 1 
utilities-tools,69.4,RocketDock 
utilities-tools,100,Unlocker 
utilities-tools,7.8,Audio driver for Microsoft Windows 7 
utilities-tools,29.6,AirDroid Desktop 
utilities-tools,63.5,Synaptics Touchpad Driver 
utilities-tools,53.6,FastStone Capture 
utilities-tools,29.1,Free Android Data Recovery 
utilities-tools,24.9,Speccy 
utilities-tools,57.3,Free Virtual Keyboard 
utilities-tools,200,Microsoft .NET Framework 
utilities-tools,100,Screenshot Captor 
utilities-tools,21.3,Scanner 
utilities-tools,41.1,Microsoft OneDrive 
utilities-tools,87.8,Windows 10 Launch Patch 64 bit 
utilities-tools,400,Windows 7 
utilities-tools,7.5,Realtek High Definition Audio Driver 
utilities-tools,64.9,Jing 
utilities-tools,58.4,Epson L210 Drivers 
utilities-tools,44.9,Bandizip 
utilities-tools,56.7,EasyBCD 
utilities-tools,15.6,HP LaserJet 1320 Printer drivers 
utilities-tools,73.1,Andy OS 
utilities-tools,32.6,Wondershare MirrorGo 
utilities-tools,19.6,SpaceSniffer 
utilities-tools,82.9,Windows 7 USB DVD Download Tool 
utilities-tools,10.9,HP LaserJet Pro P1102w Printer Driver 
utilities-tools,43.9,Synaptics Touchpad Driver 
utilities-tools,31.6,Auto-Clicker 
utilities-tools,8.6,7-Zip 
utilities-tools,24.7,HP LaserJet Pro M1136 Multifunction Printer drivers 
utilities-tools,100,HP LaserJet 1020 Drivers 
utilities-tools,32.1,GifCam 
utilities-tools,50.6,Windows Mobile Device Center 
utilities-tools,38.8,IObit Uninstaller 
utilities-tools,23.4,DeskPins 
utilities-tools,80.1,CPU-Z 
utilities-tools,32.2,Free Excel to PDF Converter 
utilities-tools,30.6,Free Data Recovery 
utilities-tools,14.7,PDF24 PDF Creator 
utilities-tools,6.9,Microsoft Expression Encoder 
utilities-tools,10.5,AutoCAD LT 
utilities-tools,68.7,X-Mouse Button Control 
utilities-tools,59.3,Apowersoft Screen Recorder 
utilities-tools,14.2,IObit Unlocker 
utilities-tools,11.3,SharpKeys 
utilities-tools,34.8,HP Deskjet 1050 Drivers 
utilities-tools,73.4,Free DWG Viewer 
utilities-tools,29.9,Dropbox 
utilities-tools,8.3,Hard Disk Sentinel 
utilities-tools,200,Windroy 
utilities-tools,7.3,HP Deskjet 1510 Printer Driver 
utilities-tools,27.8,Basic Calculator 
utilities-tools,17.2,Belarc Advisor 
utilities-tools,62.2,Debut Video Capture Software 
utilities-tools,100,Driver Easy 
utilities-tools,10.0,DriverTuner 
utilities-tools,5.0,Screen Recorder Pro 
utilities-tools,17.9,TransMac 
utilities-tools,200,CamStudio 
utilities-tools,28.0,Adjust Laptop Brightness 
utilities-tools,6.8,HEVC Video Extensions 
utilities-tools,21.2,Logitech HD Webcam Software 
utilities-tools,75.1,HP USB Disk Storage Format Tool 
utilities-tools,15.9,Windows File Explorer 
utilities-tools,100,Baidu PC Faster 
utilities-tools,17.7,Windows 8 Upgrade Assistant 
utilities-tools,11.6,Desktop Lighter 
utilities-tools,35.7,OpenAL 
utilities-tools,10.9,Windows Media Creation Tool 
utilities-tools,33.6,KingoRoot 
utilities-tools,7.9,HP Deskjet Ink Advantage 1515 All-in-One Printer drivers 
utilities-tools,37.7,Universal USB Installer 
utilities-tools,20.9,Icecream Screen Recorder 
utilities-tools,13.1,HFSExplorer 
utilities-tools,400,Microsoft Office 2007 Service Pack 2 
utilities-tools,13.9,Windows 7 Upgrade Advisor 
utilities-tools,85.2,Free Alarm Clock 
utilities-tools,86.8,USB Show 
utilities-tools,10.5,PhoneRescue 
utilities-tools,11.6,Free Desktop Clock 
utilities-tools,5.2,Zip Files Opener 
utilities-tools,88.9,PowerPoint Viewer 2010 
utilities-tools,6.4,Ms Word Excel Cracker 
utilities-tools,5.4,HP LaserJet P1006 Printer Driver 
utilities-tools,47.5,Intel Graphics Driver 
utilities-tools,300,Nokia Suite 
utilities-tools,75.2,DirectX Redistributable 
utilities-tools,8.7,Multi-Camera Recorder 
utilities-tools,8.9,XML Viewer 
utilities-tools,9.3,Free iPhone Data Recovery 
utilities-tools,5.6,Clover 
utilities-tools,16.6,KGB Archiver 
utilities-tools,42.9,HDD Regenerator 
utilities-tools,8.0,LoiLo Game Recorder 
