software_category,software_down,software_name
security-privacy,6.6,USB Shortcut VIRUS remover 
security-privacy,12.2,USB WriteProtector 
security-privacy,45.9,eScan Anti-virus 
security-privacy,13.4,Avast SecureLine VPN 
security-privacy,49.7,PureVPN 
security-privacy,11.0,hide.me VPN for Windows 
security-privacy,5.7,Panda Internet Security 
security-privacy,5.7,Panda Internet Security 
security-privacy,63.8,Revealer Keylogger 
security-privacy,38.0,Free Hide Folder 
security-privacy,21.8,Password Viewer 
security-privacy,14.9,PGP Desktop 
security-privacy,20.5,Product Key Finder 
security-privacy,73.7,Bitdefender Antivirus Free 
security-privacy,37.6,Magical Jelly Bean Keyfinder 
security-privacy,9.8,eScan Internet Security Suite 
security-privacy,11.6,Kaspersky Total Security 
security-privacy,9.9,Bitdefender Total Security 2020 
security-privacy,9.5,Total VPN 
security-privacy,7.9,SterJo Wireless Passwords 
security-privacy,9.6,SuperAntiSpyware 
security-privacy,7.3,USB Security 
security-privacy,15.2,McAfee Internet Security Suite 
security-privacy,30.6,Quick Heal Internet Security 
security-privacy,89.4,AVG Internet Security - Unlimited 
security-privacy,6.7,Hola Better Internet 
security-privacy,32.5,USB Disk Security 
security-privacy,300,ESET NOD32 Antivirus 
security-privacy,94.2,Protected Folder 
security-privacy,21.8,Password Revealer 
security-privacy,10.8,Lockmydrive FreeLocker 
security-privacy,53.3,360 Total Security Essential 
security-privacy,13.1,USB Locker 
security-privacy,9.1,KeyMaker 
security-privacy,11.8,VPN Shield Desktop 
security-privacy,7.9,Wi-Fi Password Key Generator 
security-privacy,10.0,WiFi password revealer 
security-privacy,47.2,Unlimited Free VPN - Betternet for Chrome 
security-privacy,8.9,Folder Guard 
security-privacy,5.1,Windscribe Free VPN and Adblock For Chrome 
security-privacy,18.8,WiFi Password Dump 
security-privacy,26.9,SafeIP 
security-privacy,98.9,Norton Security Premium 
security-privacy,6.4,myWIFIzone Internet Access Blocker 
security-privacy,8.5,Free RAR Password Recovery 
security-privacy,14.7,Windows Password Recovery Tool Professional 
security-privacy,32.9,ZenMate VPN for Firefox 
security-privacy,16.5,AVG Rescue USB 
security-privacy,5.4,Appnimi RAR Password Unlocker 
security-privacy,8.7,Norton Security Scan 
security-privacy,12.1,Secure Folder 
security-privacy,9.1,Avira Free System Speedup 
security-privacy,38.3,Sophos Home Security Free 
security-privacy,23.5,OkayFreedom VPN 
security-privacy,5.1,SpyBot Search & Destroy Portable 
security-privacy,47.5,Password and Key Finder 
security-privacy,5.6,Pass Keylogger 
games,39.7,Among Us 
games,300,GameLoop 
games,58.7,Fall Guys: Ultimate Knockout 
games,1100,Grand Theft Auto: Vice City 
games,400,ROBLOX 
games,600,Grand Theft Auto V 
games,1800,Minecraft 
games,48.9,PUBG Mobile 
games,200,Grand Theft Auto: San Andreas 
games,900,Steam 
games,23.7,Call of Duty: Mobile for PC 
games,25.6,Project IGI 
games,34.5,Bluestacks 3 
games,100,RULES OF SURVIVAL 
games,62.6,Car Racing Adventure 
games,100,Leapdroid 
games,300,Grand Theft Auto IV 
games,400,EA SPORTS Cricket 
games,200,Need for Speed 
games,18.6,Road Rash 
games,600,Plants vs. Zombies 
games,22.3,Brawl Stars 
games,500,Minecraft Beta 
games,1300,DirectX 
games,76.7,Minecraft Windows 10 Edition 
games,600,Need for Speed: Most Wanted 
games,36.5,Rocket League 
games,69.3,Hill Climb Racing 
games,24.8,Cricket 19 
games,16.1,IGI 2: Covert Strike 
games,9.2,eFootball  PES 2020 
games,41.3,Super Mario Bros 3: Mario Forever 
games,34.4,Need for Speed™ Payback 
games,10.5,FIFA 20 
games,300,Free Chess 
games,13.3,Human: Fall Flat 
games,300,The Sims 4 
games,10.0,Roblox Studio 
games,97.0,Call of Duty 
games,16.0,Raft 
games,11.3,TEKKEN 7 
games,700,Call of Duty 4 
games,200,Euro Truck Simulator 2 
games,5.1,Clash of Clans 
games,12.6,Granny 
games,30.0,PES 2019 PRO EVOLUTION SOCCER 
games,33.3,Tux Typing 
games,23.8,Fifa 19 
games,8.0,SmartGaGa-Android Emulator 
games,13.4,Forza Horizon 4 
games,300,City Racing 
games,400,Angry Birds 
games,200,Counter-Strike: Condition Zero 
games,200,Counter-Strike: Global Offensive 
games,58.6,BeamNG.drive 
games,41.1,Facebook Gameroom 
games,9.4,Getting Over It with Bennett Foddy 
games,20.6,Remix OS Player 
games,200,Grand Theft Auto: San Andreas for Windows 10 
games,18.9,Grand Theft Auto III 
games,5.1,Pacify 
games,57.2,FIFA 18 
games,99.7,Garry's Mod 
games,37.5,Candy Crush Saga for Windows 10 
games,17.2,MEmu 
games,14.4,Asphalt 9: Legends 
games,7.2,Gacha Life 
games,200,Attack on Titan Tribute Game 
games,43.5,Geometry Dash 
games,80.0,Chess Titans 
games,200,Zuma 
games,35.6,Undertale 
games,1200,GTA IV San Andreas 
games,61.4,Prince of Persia: Warrior Within 
games,30.1,Assassin's Creed 
games,300,Warcraft III: The Frozen Throne 
games,12.4,Call of Duty: Modern Warfare 3 
games,45.7,DS4Windows 
games,6.2,Need for Speed: Heat 
games,6.6,Udemy 
games,200,Spider-Man 3 
games,35.0,Classic Solitaire (Free) for Windows 10 
games,39.3,Spider-man 
games,21.5,Universe Sandbox 2 
games,28.0,Farming Simulator 17 
games,100,8 Ball Pool - Miniclip 
games,100,Asphalt 8: Airborne for Windows 10 
games,100,Age of Empires III 
games,400,Euro Truck Simulator 
games,25.5,Totally Accurate Battle Simulator 
games,100,Five Nights at Freddy's 
games,74.4,MotoGP 2 
games,300,WWE Raw 
games,70.4,Scania Truck Driving Simulator 
games,98.2,WWE 2K15 
games,13.1,Tux Paint Stamps 
games,70.0,PLAYERUNKNOWN'S BATTLEGROUNDS 
games,200,PES 2016 
games,81.8,Hitman 2 
games,33.7,Chicken Invaders 
games,34.5,American Truck Simulator 
games,8.3,Chess Free! 
games,300,Need for Speed Underground 2 
games,74.6,Total Overdose 
games,28.5,FIFA 14 for Windows 10 
games,5.3,Red Dead Redemption II 
games,100,Zuma's Revenge! 
games,63.9,Left 4 Dead 
games,13.9,Hitman 
games,5.7,Township 
games,15.4,Pro Evolution Soccer 2018 
games,98.4,PES 2017 
games,100,Fortnite Battle Royale - Chapter 2 
games,75.8,Left 4 Dead 2 
games,200,Origin 
games,200,Dota 2 
games,67.4,Hello Neighbor 
games,5.7,Far Cry 3 
games,300,Need For Speed Underground 
games,1600,Grand Theft Auto: San Andreas - Patch 
games,10.2,Don Bradman Cricket 17 
games,6.2,Grammarly for Chrome 
games,8.5,Farming Simulator 19 
games,20.4,Free Spider Solitaire 
games,69.4,ARK: Survival Evolved 
games,14.2,Cooking Fever 
games,16.3,The Amazing Spider-Man 2 
games,200,Garena+ 
games,34.2,Need for Speed: Most Wanted 
games,5.8,Wallpaper Engine 
games,31.8,3D Chess Game for Windows 10 
games,200,Call Of Duty: World at War 
games,200,Age Of Empires II 
games,34.9,Command & Conquer Red Alert 
games,46.7,Mortal Kombat X 
games,8.4,Internet Cafe Simulator 
games,100,Yandere Simulator 
games,51.3,Shadow Fight 2 
games,54.7,GTAIV Patch 
games,5.0,Plants vs. Zombies: Game of the Year 
games,200,FIFA 15 
games,100,Stronghold Crusader 
games,7.0,Bus Simulator 18 
games,10.0,Call of Duty: Black Ops 2 
games,23.6,LEGO Digital Designer 
games,8.0,Call of Duty® WWII 
games,100,Microsoft Flight Simulator X 
games,100,Street Fighter 2 
games,20.7,Delta Force: Black Hawk Down Official 
games,58.0,Mafia 2 
games,65.7,Pocket Tanks 
games,200,Call of Duty 2 
games,200,Terraria 
games,100,CrossFire 
games,97.8,Angry Birds Rio 
games,7.3,WWE 2K19 
games,47.2,Medal of Honor: Allied Assault 
games,36.0,Diner Dash 2  
games,5.3,Forza Horizon 4 Demo 
games,45.6,Far Cry 
games,5.1,PS4 Remote Play 
games,53.4,Call of Duty 2 
games,100,GTA: San Andreas Downgrade Patch 
games,5.3,The Crew 2 
